"Coğrafi Kapsam (TR)";"Gözlem Sıklığı (A)";"İstatistiksel Gösterge (NG_ADNKS)";"Hanehalkı tipi (1)";"Hanehalkı büyüklüğü (_T)";"ADNKS Gösterge (HH_SAY)";"Zaman (2014)";"Gözlem";"Gözlem Durumu";"Zaman Formatı";"Ondalık Basamak Sayısı";"Ölçü Birimi";"Birim Çarpanı"
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"3";"Hanehalkı sayısı";"2018";"4083809";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"3";"Hanehalkı sayısı";"2019";"4201959";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"3";"Hanehalkı sayısı";"2020";"4261670";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"3";"Hanehalkı sayısı";"2021";"4397493";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"3";"Hanehalkı sayısı";"2022";"4538547";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"3";"Hanehalkı sayısı";"2023";"4589212";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"3";"Hanehalkı sayısı";"2024";"4647020";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"3";"Hanehalkı sayısı";"2025";"4703530";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"4";"Hanehalkı sayısı";"2014";"3924574";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Tek Çekirdek Aileden Oluşan Hanehalkı";"4";"Hanehalkı sayısı";"2015";"3941503";"";"";"";"";""
