"Coğrafi Kapsam (TR)";"Gözlem Sıklığı (A)";"İstatistiksel Gösterge (NG_ADNKS)";"İkamet edilen yer (TR)";"ADNKS Gösterge (ORT_HH_BUYUKLUK)";"Zaman (2008)";"Gözlem";"Gözlem Durumu";"Zaman Formatı";"Ondalık Basamak Sayısı";"Ölçü Birimi";"Birim Çarpanı"
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Ortalama hanehalkı büyüklüğü";"2020";"2,74078388185297";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Ortalama hanehalkı büyüklüğü";"2021";"2,68528654776027";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Ortalama hanehalkı büyüklüğü";"2022";"2,62535786219022";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Ortalama hanehalkı büyüklüğü";"2023";"2,62417681731491";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Ortalama hanehalkı büyüklüğü";"2024";"2,61626579590103";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Edirne";"Ortalama hanehalkı büyüklüğü";"2025";"2,60474506161862";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kırklareli";"Ortalama hanehalkı büyüklüğü";"2008";"3,2";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kırklareli";"Ortalama hanehalkı büyüklüğü";"2009";"3,17852042273636";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kırklareli";"Ortalama hanehalkı büyüklüğü";"2010";"3,09791433100089";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kırklareli";"Ortalama hanehalkı büyüklüğü";"2011";"3,06065358731607";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kırklareli";"Ortalama hanehalkı büyüklüğü";"2012";"3,03673442586044";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kırklareli";"Ortalama hanehalkı büyüklüğü";"2013";"3,00619794693008";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kırklareli";"Ortalama hanehalkı büyüklüğü";"2014";"2,97246466222714";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kırklareli";"Ortalama hanehalkı büyüklüğü";"2015";"2,93151488748811";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kırklareli";"Ortalama hanehalkı büyüklüğü";"2016";"2,89847883310601";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kırklareli";"Ortalama hanehalkı büyüklüğü";"2017";"2,86931556404962";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kırklareli";"Ortalama hanehalkı büyüklüğü";"2018";"2,84281894895146";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kırklareli";"Ortalama hanehalkı büyüklüğü";"2019";"2,80382877156145";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kırklareli";"Ortalama hanehalkı büyüklüğü";"2020";"2,78252746550843";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kırklareli";"Ortalama hanehalkı büyüklüğü";"2021";"2,72451132267883";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kırklareli";"Ortalama hanehalkı büyüklüğü";"2022";"2,68468639160882";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kırklareli";"Ortalama hanehalkı büyüklüğü";"2023";"2,6878913628724";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Kırklareli";"Ortalama hanehalkı büyüklüğü";"2024";"2,67061180436454";"";"";"";"";""
