"Coğrafi Kapsam";"Gözlem Sıklığı";"İstatistiksel Gösterge";"İkamet edilen yer";"Hanehalkı tipi";"ADNKS Gösterge";"Zaman";"Gözlem";"Gözlem Durumu";"Zaman Formatı";"Ondalık Basamak Sayısı";"Ölçü Birimi";"Birim Çarpanı"
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2017";"567540";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2018";"648910";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2019";"714618";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2020";"691994";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2021";"798990";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2022";"849466";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2023";"860757";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2024";"857575";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Çekirdek Aile Bulunmayan Birden Fazla Kişiden Oluşan Hanehalkı";"Hanehalkı sayısı";"2025";"885831";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Toplam";"Hanehalkı sayısı";"2014";"21091075";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Toplam";"Hanehalkı sayısı";"2015";"21662260";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Toplam";"Hanehalkı sayısı";"2016";"22206776";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Toplam";"Hanehalkı sayısı";"2017";"22676186";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Toplam";"Hanehalkı sayısı";"2018";"23221218";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Toplam";"Hanehalkı sayısı";"2019";"24001940";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Toplam";"Hanehalkı sayısı";"2020";"24604086";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Toplam";"Hanehalkı sayısı";"2021";"25329833";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Toplam";"Hanehalkı sayısı";"2022";"26075365";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Toplam";"Hanehalkı sayısı";"2023";"26309332";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Toplam";"Hanehalkı sayısı";"2024";"26599261";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"Toplam";"Toplam";"Hanehalkı sayısı";"2025";"26977795";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2014";"545925";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2015";"564873";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2016";"593868";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2017";"622069";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2018";"672041";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2019";"764332";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2020";"825457";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2021";"896994";"";"";"";"";""
"Türkiye";"Yıllık";"Adrese Dayalı Nüfus Kayıt Sistemi";"İstanbul";"Tek Kişilik Hanehalkı";"Hanehalkı sayısı";"2022";"939158";"";"";"";"";""
